Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$19,228.00"
Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,"$1,059.69"
Tether,https://coinmarketcap.com/currencies/tether/,USDT,$0.9991
USD Coin,https://coinmarketcap.com/currencies/usd-coin/,USDC,$1.00
BNB,https://coinmarketcap.com/currencies/bnb/,BNB,$216.91
Binance USD,https://coinmarketcap.com/currencies/binance-usd/,BUSD,$1.00
XRP,https://coinmarketcap.com/currencies/xrp/,XRP,$0.3216
Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,$0.4525
Solana,https://coinmarketcap.com/currencies/solana/,SOL,$32.80
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,$0.06599
Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/,DAI,$1.00
Polkadot,https://coinmarketcap.com/currencies/polkadot-new/,DOT,$6.80
TRON,https://coinmarketcap.com/currencies/tron/,TRX,$0.06
Shiba Inu,https://coinmarketcap.com/currencies/shiba-inu/,SHIB,$0.00
UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,LEO,$5.72
Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/,WBTC,$19170.10
Avalanche,https://coinmarketcap.com/currencies/avalanche/,AVAX,$16.19
Polygon,https://coinmarketcap.com/currencies/polygon/,MATIC,$0.46
Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,$50.57
Uniswap,https://coinmarketcap.com/currencies/uniswap/,UNI,$4.82
FTX Token,https://coinmarketcap.com/currencies/ftx-token/,FTT,$24.15
Chainlink,https://coinmarketcap.com/currencies/chainlink/,LINK,$6.14
Cronos,https://coinmarketcap.com/currencies/cronos/,CRO,$0.11
Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,$0.11
NEAR Protocol,https://coinmarketcap.com/currencies/near-protocol/,NEAR,$3.27
Cosmos,https://coinmarketcap.com/currencies/cosmos/,ATOM,$8.21
Algorand,https://coinmarketcap.com/currencies/algorand/,ALGO,$0.31
Monero,https://coinmarketcap.com/currencies/monero/,XMR,$116.49
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,$14.66
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,$103.34
VeChain,https://coinmarketcap.com/currencies/vechain/,VET,$0.02
Flow,https://coinmarketcap.com/currencies/flow/,FLOW,$1.55
Decentraland,https://coinmarketcap.com/currencies/decentraland/,MANA,$0.83
ApeCoin,https://coinmarketcap.com/currencies/apecoin-ape/,APE,$4.58
The Sandbox,https://coinmarketcap.com/currencies/the-sandbox/,SAND,$1.04
Hedera,https://coinmarketcap.com/currencies/hedera/,HBAR,$0.06
Tezos,https://coinmarketcap.com/currencies/tezos/,XTZ,$1.43
Internet Computer,https://coinmarketcap.com/currencies/internet-computer/,ICP,$5.20
Theta Network,https://coinmarketcap.com/currencies/theta-network/,THETA,$1.21
TrueUSD,https://coinmarketcap.com/currencies/trueusd/,TUSD,$1.00
Filecoin,https://coinmarketcap.com/currencies/filecoin/,FIL,$5.28
